"DisplayName","DisplayVersion","Publisher","InstallDate"
"Mathematica Extras 8.0 (2650695)","8.0.4","Wolfram Research, Inc.","20170305"
,,,
"法语助手智能输入法","2.1","欧路软件","20170417"
"Microsoft Office 365 - fr-fr","16.0.9226.2156","Microsoft Corporation",
"Microsoft Office 365 - zh-cn","16.0.9226.2156","Microsoft Corporation",
"Python 3.6.3 (Anaconda3 5.0.1 64-bit)","5.0.1","Anaconda, Inc.",
"Vulkan Run Time Libraries 1.0.61.0","1.0.61.0","LunarG, Inc.",
,,,
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","12.0.2000.8","Microsoft Corporation","20161020"
"Microsoft Visual Studio Team Foundation Server 2015 Office 集成语言包(x64) - 简体中文","14.0.23102","Microsoft Corporation","20161126"
,,,
"Oracle VM VirtualBox 5.1.26","5.1.26","Oracle Corporation","20170913"
"IIS 10.0 Express","10.0.1736","Microsoft Corporation","20161020"
"Windows App Certification Kit Native Components","8.100.26629","Microsoft Corporation","20161126"
"Microsoft SQL Server 2014 Management Objects  (x64)","12.0.2000.8","Microsoft Corporation","20161020"
"Microsoft SQL Server 2016 Management Objects  (x64)","13.0.1601.5","Microsoft Corporation","20161020"
"Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64","14.0.25431","Microsoft Corporation","20161020"
,,,
"Active Directory Authentication Library for SQL Server","13.0.1601.5","Microsoft Corporation","20161020"
"Universal CRT Tools x64","10.0.26624","Microsoft Corporation","20161020"
"Microsoft Build Tools Language Resources 14.0 (amd64)","14.0.25420","Microsoft Corporation","20161020"
"Typora version 0.9.48","0.9.48","typora.io","20180411"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20161119"
"Microsoft SQL Server Compact 4.0 SP1 x64 简体中文版","4.0.8876.1","Microsoft Corporation","20161126"
"Microsoft Visual Studio 2015 Performance Collection Tools - ENU","14.0.23107","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20161020"
"Microsoft SQL Server 2012 Native Client ","11.0.2100.60","Microsoft Corporation","20161020"
"Java(TM) SE Development Kit 9.0.1 (64-bit)","9.0.1.0","Oracle Corporation","20171211"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding (x64)","14.98.25331","Microsoft","20161020"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20161020"
"Windows Software Development Kit DirectX x64 Remote","8.100.25984","Microsoft Corporation","20161020"
"Apple Mobile Device Support","10.0.1.3","Apple Inc.","20170201"
"Bonjour","3.1.0.1","Apple Inc.","20170201"
"Microsoft Visual Studio 2015 VsGraphics Helper Dependencies","14.0.23107","Microsoft Corporation","20161020"
"Microsoft Visual Studio Team Foundation Server 2015 Office Integration Language Pack (x64) - ENU","14.0.23102","Microsoft Corporation","20161021"
"Microsoft Visual Studio Team Foundation Server 2015 情节提要语言包(x64) - 简体中文","14.0.23102","Microsoft Corporation","20161126"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration Language Pack (x64) - ENU","14.98.25331","Microsoft","20161126"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20161119"
"Visual C++ IDE x64 Package","14.0.25420","Microsoft Corporation","20161020"
"Update for Windows 10 for x64-based Systems (KB4023057)","2.7.0.0","Microsoft Corporation","20171118"
"Microsoft Visual Studio 2015 Diagnostic Tools - amd64","14.0.23107","Microsoft Corporation","20161020"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration (x64)","14.98.25331","Microsoft","20161020"
"Build Tools Language Resources - amd64","12.0.31010","Microsoft Corporation","20161021"
"Microsoft Visual Studio Team Foundation Server 2015 Storyboarding Language Pack (x64) - ENU","14.0.23102","Microsoft Corporation","20161021"
,,,
"Microsoft SQL Server Compact 4.0 SP1 x64 ENU","4.0.8876.1","Microsoft Corporation","20161020"
"Microsoft Build Tools 14.0 (amd64)","14.0.25420","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17","9.0.30729","Microsoft Corporation","20170415"
"Visual Studio 2015 Prerequisites - ENU Language Pack","14.0.23107","Microsoft Corporation","20161020"
"Java 9.0.4 (64-bit)","9.0.4.0","Oracle Corporation","20180212"
"KMSpico v9.3.3","9.3.2",,"20171218"
"Microsoft Office 64-bit Components 2013","15.0.4569.1506","Microsoft Corporation","20180522"
"Microsoft Office Shared 64-bit MUI (Chinese (Simplified)) 2013","15.0.4569.1506","Microsoft Corporation","20180117"
"Office 16 Click-to-Run Licensing Component","16.0.9226.2156","Microsoft Corporation","20180520"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.9226.2156","Microsoft Corporation","20180520"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20151121"
"Microsoft Web Deploy 3.6","3.1238.1962","Microsoft Corporation","20161020"
"Microsoft System CLR Types for SQL Server 2016","13.0.1601.5","Microsoft Corporation","20161020"
"Windows Software Development Kit for Windows Store Apps DirectX x64 Remote","8.100.26936","Microsoft Corporation","20161126"
"Windows XP Targeting with C++","11.0.51106","Microsoft Corporation","20161020"
"Go Programming Language amd64 go1.8.1","1.8.1","https://golang.org","20170520"
"Microsoft SQL Server 2012 Command Line Utilities ","11.0.2100.60","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20151121"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding Language Pack (x64) - ENU","14.98.25331","Microsoft","20161126"
"Visual Studio 2015 Prerequisites - CHS Language Pack","14.0.23107","Microsoft Corporation","20161126"
"Ansel","388.08","NVIDIA Corporation","20180118"
"NVIDIA 控制面板 388.08","388.08","NVIDIA Corporation","20180118"
"NVIDIA 图形驱动程序 388.08","388.08","NVIDIA Corporation","20180118"
"NVIDIA Optimus Update 29.1.0.0","29.1.0.0","NVIDIA Corporation","20180118"
"NVIDIA 更新 29.1.0.0","29.1.0.0","NVIDIA Corporation","20180118"
"NVIDIA Install Application","2.1002.259.2253","NVIDIA Corporation","20180118"
"NVIDIA Display Container","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Container LS","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Watchdog Plugin","1.2","NVIDIA Corporation","20180118"
"NVIDIA Display Session Container","1.2","NVIDIA Corporation","20180118"
"NVIDIA Telemetry Client","7.8.8.0","NVIDIA Corporation","20180118"
"NVIDIA Telemetry Container","7.8.8.0","NVIDIA Corporation","20180118"
"NVIDIA Update Core","2.11.4.0","NVIDIA Corporation","20171118"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Storyboarding Language Pack (x64) - ENU","14.98.25331","Microsoft","20161020"
,,,
"Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64","14.0.25420","Microsoft Corporation","20161020"
"Microsoft .NET Version Manager (x64) 1.0.0-beta5","1.0.10609.0","Microsoft Corporation","20161020"
"Microsoft Visual Studio 2015 性能收集工具 - 简体中文","14.0.23107","Microsoft Corporation","20161126"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20161119"
"Microsoft SQL Server 2016 T-SQL ScriptDom ","13.0.1601.5","Microsoft Corporation","20161020"
"VMware Player","12.5.6","VMware, Inc.","20170619"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319","10.0.30319","Microsoft Corporation","20161119"
"Visual Studio 2015 Prerequisites","14.0.23107","Microsoft Corporation","20161020"
"Microsoft SQL Server 2016 LocalDB ","13.0.1601.5","Microsoft Corporation","20161020"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20161020"
"Microsoft Visual Studio Team Foundation Server 2015 Update 3 CTP1 Office Integration Language Pack (x64) - ENU","14.98.25331","Microsoft","20161020"
"Microsoft System CLR Types for SQL Server 2014","12.0.2402.29","Microsoft Corporation","20161020"
"Microsoft Visual Studio 2015 Performance Collection Tools","14.0.23107","Microsoft Corporation","20161126"
